"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"825-10","825","10","62","298","Gestante","1","3","14.2","7.9","1270000","6.67","1","","","",""
"52-3","52","3","106","243","Gestante","1","6","12","8.4","1229000","6.62","1","","","",""
"7741-2","7741","2","66","176","Gestante","1","4","13.9","6.2","1211000","6.6","1","","","",""
"206-1","206","1","91","252","Gestante","1","4","4.9","6.6","1304000","6.7","1","","","",""
"845-5","845","5","58","48","Abierta","2","3","14.4","8","1294000","6.69","1","","","",""
"746-10","746","10","86","44","Abierta","2","5","25.6","8.1","1286000","6.68","1","","","",""
"408-8","408","8","75","301","No gestante","#N/A","2","15.1","7.5","1159000","6.53","1","","","",""
"845-11","845","11","59","91","Abierta","2","3","15.5","7.2","1145000","6.52","1","","","",""
"17-6","17","6","107","286","Gestante","1","5","3.8","6.7","1133000","6.5","1","","","",""
"1600-5","1600","5","87","196","Gestante","1","5","18.3","6.9","1208000","6.59","1","","","",""
"52-5","52","5","107","257","Gestante","1","6","12.2","9","1185000","6.57","1","","","",""
"1867-10","1867","10","52","203","No gestante","#N/A","2","7.1","9.9","1161000","6.54","1","","","",""
"904-6","904","6","43","17","Abierta","2","2","13.4","7.4","1618000","7.02","1","","","",""
"904-7","904","7","44","25","Abierta","2","2","20.1","7.4","2410000","7.59","1","","","",""
"825-4","825","4","60","255","Gestante","1","3","14.4","9.6","2416000","7.59","1","","","",""
"1603-10","1603","10","88","10","Abierta","2","5","11.1","6.7","2387000","7.58","1","","","",""
"784-2","784","2","70","148","Gestante","1","3","12.5","6.7","2597000","7.7","1","","","",""
"806-4","806","4","65","34","Abierta","2","3","14.9","6.6","2483000","7.63","1","","","",""
"136-2","136","2","94","322","Gestante","1","5","4.7","6.5","2410000","7.59","1","","","",""
"1913-8","1913","8","91","348","Gestante","1","4","5.3","7.3","2298000","7.52","1","","","",""
"845-8","845","8","58","69","Abierta","2","3","14.6","7.2","2274000","7.51","1","","","",""
"1626-5","1626","5","105","182","Gestante","1","7","16","6","2280000","7.51","1","","","",""
"17-5","17","5","107","279","Gestante","1","5","4.2","6.5","2369000","7.57","1","","","",""
"947-2","947","2","34","188","Gestante","1","1","9","6.9","2311000","7.53","1","","","",""
"7741-11","7741","11","68","240","Gestante","1","4","14.6","5.5","2291000","7.52","1","","","",""
"52-9","52","9","107","285","Gestante","1","6","10.5","9","2817000","7.82","1","","","",""
"1546-2","1546","2","58","123","Gestante","1","3","8.7","6.1","4719000","8.56","1","","","",""
"952-2","952","2","34","222","Gestante","1","1","12.3","6.4","4591000","8.52","1","","","",""
"136-3","136","3","94","329","Gestante","1","5","5.3","6.7","3862000","8.27","1","","","",""
"888-10","888","10","47","315","Gestante","1","2","8.5","6.2","5878000","8.88","1","","","",""
"686-8","686","8","108","238","Inseminada","3","6","8.8","7","5477000","8.78","1","","","",""
"888-1","888","1","45","251","Gestante","1","2","9.1","6.7","5061000","8.66","1","","","",""
"212-1","212","1","91","10","Abierta","2","4","19.8","7.1","3084000","7.95","1","","","",""
"1241-5","1241","5","102","92","Abierta","2","7","17.4","6.7","2881000","7.85","1","","","",""
"846-6","846","6","57","283","Gestante","1","2","6.9","6.8","2843000","7.83","1","","","",""
"846-1","846","1","56","248","Gestante","1","2","6.1","7.3","3693000","8.21","1","","","",""
"846-2","846","2","56","255","Gestante","1","2","11.7","6.2","3560000","8.15","1","","","",""
"52-10","52","10","108","293","Gestante","1","6","10.2","6.5","3359000","8.07","1","","","",""
"822-4","822","4","60","114","Inseminada","3","3","16.5","7.5","1763000","7.14","1","","","",""
"806-3","806","3","64","27","Abierta","2","3","11","5.2","1761000","7.14","1","","","",""
"977-4","977","4","28","99","Inseminada","3","1","12.8","6","1736000","7.12","1","","","",""
"1939-2","1939","2","85","249","Gestante","1","5","9.4","8.6","1806000","7.17","1","","","",""
"904-4","904","4","43","3","Abierta","2","2","13.2","7.1","1793000","7.16","1","","","",""
"1626-6","1626","6","105","189","Gestante","1","7","16.7","6.7","1784000","7.16","1","","","",""
"52-2","52","2","106","236","Gestante","1","6","13.1","7.7","1665000","7.06","1","","","",""
"845-10","845","10","59","84","Abierta","2","3","13.7","7.3","1660000","7.05","1","","","",""
"52-8","52","8","107","278","Gestante","1","6","11.5","8.4","1651000","7.05","1","","","",""
"822-2","822","2","60","100","Inseminada","3","3","8.6","8.3","1734000","7.12","1","","","",""
"1867-7","1867","7","51","182","Inseminada","3","2","15.9","6","1721000","7.11","1","","","",""
"1241-1","1241","1","101","64","Abierta","2","7","20.1","9.9","1678000","7.07","1","","","",""
"653-7","653","7","120","281","No gestante","#N/A","6","9.6","5.4","1857000","7.21","1","","","",""
"806-11","806","11","66","84","Abierta","2","3","17.1","7.3","2206000","7.46","1","","","",""
"845-2","845","2","57","27","Abierta","2","3","19.1","7.3","2170000","7.44","1","","","",""
"1112-4","1112","4","100","292","Gestante","1","4","16.3","5.9","2076000","7.38","1","","","",""
"212-9","212","9","92","66","Abierta","2","4","12.5","7.1","2247000","7.49","1","","","",""
"845-4","845","4","57","41","Abierta","2","3","15.7","7.3","2223000","7.47","1","","","",""
"1626-9","1626","9","105","210","Gestante","1","7","15.9","7","2212000","7.47","1","","","",""
"845-3","845","3","57","34","Abierta","2","3","11.1","6.4","2032000","7.34","1","","","",""
"845-9","845","9","59","76","Abierta","2","3","13.9","7.5","1957000","7.29","1","","","",""
"846-3","846","3","56","262","Gestante","1","2","11","6.3","1870000","7.22","1","","","",""
"759-6","759","6","78","91","Inseminada","3","5","20.5","7.3","2039000","7.35","1","","","",""
"822-3","822","3","60","107","Inseminada","3","3","17.3","8","2035000","7.35","1","","","",""
"1915-7","1915","7","86","282","Gestante","1","5","10.3","7.2","2035000","7.35","1","","","",""
"1661-3","1661","3","74","288","Gestante","1","3","10.1","6.1","655000","5.71","1","","","",""
"1112-1","1112","1","100","271","Gestante","1","4","18.1","6.6","656000","5.71","1","","","",""
"748-5","748","5","84","284","Gestante","1","4","9.6","8","655000","5.71","1","","","",""
"748-6","748","6","84","291","Gestante","1","4","11","7.2","659000","5.72","1","","","",""
"408-11","408","11","76","323","Inseminada","3","2","18.4","7.8","658000","5.72","1","","","",""
"408-4","408","4","74","273","No gestante","#N/A","2","16","8.1","658000","5.72","1","","","",""
"746-9","746","9","86","36","Abierta","2","5","24.6","7.4","649000","5.7","1","","","",""
"216-11","216","11","93","230","Inseminada","3","4","15.6","5.5","645000","5.69","1","","","",""
"1600-11","1600","11","88","239","Inseminada","3","5","13.6","7.7","645000","5.69","1","","","",""
"746-7","746","7","85","23","Abierta","2","5","24.7","7.1","654000","5.71","1","","","",""
"1913-5","1913","5","91","327","Gestante","1","4","5.9","4.5","653000","5.71","1","","","",""
"825-7","825","7","61","277","Gestante","1","3","15","8","650000","5.7","1","","","",""
"1867-4","1867","4","50","160","Inseminada","3","2","13.3","7.5","676000","5.76","1","","","",""
"1241-11","1241","11","103","135","Abierta","2","7","18.5","7","699000","5.81","1","","","",""
"825-3","825","3","60","248","Gestante","1","3","14.2","8.4","695000","5.8","1","","","",""
"408-5","408","5","74","280","No gestante","#N/A","2","18","8.7","698000","5.8","1","","","",""
"759-8","759","8","79","105","Inseminada","3","5","17","7.3","726000","5.86","1","","","",""
"1867-8","1867","8","51","188","No gestante","#N/A","2","11.7","8.9","716000","5.84","1","","","",""
"749-3","749","3","83","50","Abierta","2","4","23.8","6.8","716000","5.84","1","","","",""
"408-1","408","1","73","252","Inseminada","3","2","19.5","7.2","688000","5.78","1","","","",""
"798-7","798","7","66","289","Gestante","1","4","7.7","6.9","686000","5.78","1","","","",""
"1626-10","1626","10","106","218","Gestante","1","7","14.7","6.9","682000","5.77","1","","","",""
"1626-3","1626","3","104","168","Gestante","1","7","16.7","7","694000","5.79","1","","","",""
"846-7","846","7","57","291","Gestante","1","2","6.5","4.9","693000","5.79","1","","","",""
"894-6","894","6","45","241","Gestante","1","2","16.1","5.2","686000","5.78","1","","","",""
"777-2","777","2","70","22","Abierta","2","4","11.1","6.7","587000","5.55","1","","","",""
"229-1","229","1","91","244","Gestante","1","4","8.5","4.7","584000","5.55","1","","","",""
"784-6","784","6","71","176","Gestante","1","3","11.7","4.3","579000","5.53","1","","","",""
"1913-2","1913","2","90","306","Gestante","1","4","6.4","6.7","595000","5.57","1","","","",""
"746-11","746","11","86","51","Abierta","2","5","26.6","7.5","592000","5.57","1","","","",""
"759-11","759","11","80","127","Inseminada","3","5","18.4","7.3","584000","5.55","1","","","",""
"1600-8","1600","8","87","217","Inseminada","3","5","14.6","7","565000","5.5","1","","","",""
"748-8","748","8","85","305","Gestante","1","4","8.4","7.3","558000","5.48","1","","","",""
"653-2","653","2","119","245","Inseminada","3","6","13.1","7.8","549000","5.46","1","","","",""
"1939-5","1939","5","85","270","Gestante","1","5","9.9","8.8","569000","5.51","1","","","",""
"1931-10","1931","10","87","89","Abierta","2","6","15.1","7.8","571000","5.51","1","","","",""
"1112-9","1112","9","101","327","Gestante","1","4","16.3","6.8","567000","5.5","1","","","",""
"1913-7","1913","7","91","342","Gestante","1","4","5.6","6.5","603000","5.59","1","","","",""
"212-8","212","8","92","59","Abierta","2","4","19.1","7.4","630000","5.66","1","","","",""
"884-3","884","3","46","234","Gestante","1","2","13.3","6.5","628000","5.65","1","","","",""
"408-2","408","2","74","259","Inseminada","3","2","17.5","8","624000","5.64","1","","","",""
"1241-8","1241","8","102","113","Abierta","2","7","19","6.2","646000","5.69","1","","","",""
"24-4","24","4","17","40","Abierta","2","1","11.2","5.9","641000","5.68","1","","","",""
"898-4","898","4","45","402","Gestante","1","1","10.9","5.9","637000","5.67","1","","","",""
"653-4","653","4","119","259","No gestante","#N/A","6","12.9","8.1","609000","5.61","1","","","",""
"653-6","653","6","120","273","No gestante","#N/A","6","9.2","8.3","605000","5.6","1","","","",""
"1241-6","1241","6","102","99","Abierta","2","7","19.4","6.4","607000","5.6","1","","","",""
"835-4","835","4","59","28","Abierta","2","3","18","6.8","618000","5.63","1","","","",""
"1112-11","1112","11","102","342","Gestante","1","4","16.3","6.9","612000","5.61","1","","","",""
"1112-5","1112","5","100","299","Gestante","1","4","16.5","6.8","609000","5.61","1","","","",""
"967-2","967","2","30","152","Gestante","1","1","11.6","6","732000","5.87","1","","","",""
"845-1","845","1","57","20","Abierta","2","3","13.4","5.6","918000","6.2","1","","","",""
"825-8","825","8","61","283","Gestante","1","3","12.6","6.5","922000","6.2","1","","","",""
"1112-2","1112","2","100","278","Gestante","1","4","17.9","7.4","905000","6.18","1","","","",""
"872-11","872","11","51","220","Inseminada","3","2","16.4","6.1","928000","6.21","1","","","",""
"17-1","17","1","106","251","Gestante","1","5","7.9","7.3","924000","6.21","1","","","",""
"898-6","898","6","45","416","Gestante","1","1","7.9","4","925000","6.21","1","","","",""
"17-2","17","2","106","258","Gestante","1","5","9.1","6.5","890000","6.15","1","","","",""
"1600-2","1600","2","86","175","Inseminada","3","5","15.1","5.4","885000","6.15","1","","","",""
"1915-2","1915","2","85","246","Gestante","1","5","10.7","4.8","881000","6.14","1","","","",""
"777-1","777","1","70","15","Abierta","2","4","7.9","7.9","903000","6.17","1","","","",""
"653-5","653","5","119","266","No gestante","#N/A","6","11.3","9.7","891000","6.16","1","","","",""
"229-2","229","2","91","251","Gestante","1","4","7.2","6.3","890000","6.15","1","","","",""
"690-3","690","3","93","233","Gestante","1","5","16.4","7.7","933000","6.22","1","","","",""
"1867-6","1867","6","51","174","Inseminada","3","2","11.5","6.7","984000","6.3","1","","","",""
"784-8","784","8","71","190","Gestante","1","3","12.2","6.5","958000","6.26","1","","","",""
"229-3","229","3","91","258","Gestante","1","4","13","6.5","960000","6.26","1","","","",""
"825-1","825","1","59","234","Gestante","1","3","14.3","7.7","982000","6.3","1","","","",""
"784-9","784","9","72","197","Gestante","1","3","12","6.7","984000","6.3","1","","","",""
"1626-11","1626","11","106","225","Gestante","1","7","17","8.4","983000","6.3","1","","","",""
"806-9","806","9","66","69","Abierta","2","3","15.9","6.9","935000","6.22","1","","","",""
"748-7","748","7","84","299","Gestante","1","4","11.1","7.7","930000","6.22","1","","","",""
"691-6","691","6","94","278","Gestante","1","5","5.8","6.3","933000","6.22","1","","","",""
"806-5","806","5","65","41","Abierta","2","3","15","5.4","950000","6.25","1","","","",""
"690-4","690","4","93","240","Gestante","1","5","12.2","6.9","950000","6.25","1","","","",""
"884-9","884","9","48","276","Gestante","1","2","11.4","6.5","948000","6.24","1","","","",""
"17-7","17","7","108","294","Gestante","1","5","3.7","6.9","771000","5.95","1","","","",""
"408-9","408","9","75","308","Inseminada","3","2","15.6","8.1","773000","5.95","1","","","",""
"212-7","212","7","92","53","Abierta","2","4","20.5","7.5","773000","5.95","1","","","",""
"1939-11","1939","11","87","305","Gestante","1","5","5.1","4","790000","5.98","1","","","",""
"7741-7","7741","7","68","212","Gestante","1","4","16.9","6.4","785000","5.97","1","","","",""
"748-2","748","2","83","263","Gestante","1","4","13","6.5","775000","5.95","1","","","",""
"691-2","691","2","93","250","Gestante","1","5","7.4","5.8","746000","5.9","1","","","",""
"869-9","869","9","51","186","Gestante","1","2","13.7","7.7","746000","5.9","1","","","",""
"846-11","846","11","58","319","Gestante","1","2","7.6","6","740000","5.89","1","","","",""
"825-9","825","9","61","290","Gestante","1","3","11.6","7.5","762000","5.93","1","","","",""
"1241-7","1241","7","102","107","Abierta","2","7","20.7","5.4","759000","5.92","1","","","",""
"1241-9","1241","9","103","120","Abierta","2","7","19","7.3","751000","5.91","1","","","",""
"1915-5","1915","5","86","267","Gestante","1","5","9","6.1","789000","5.98","1","","","",""
"1112-3","1112","3","100","285","Gestante","1","4","17.8","7.7","850000","6.09","1","","","",""
"408-10","408","10","75","316","Inseminada","3","2","16.8","8","839000","6.07","1","","","",""
"869-8","869","8","51","179","Gestante","1","2","14.4","6.5","838000","6.07","1","","","",""
"1867-9","1867","9","51","195","No gestante","#N/A","2","10.9","8.4","869000","6.12","1","","","",""
"825-5","825","5","60","262","Gestante","1","3","13.4","8.9","867000","6.12","1","","","",""
"212-4","212","4","91","31","Abierta","2","4","20","7.3","855000","6.1","1","","","",""
"8-2","8","2","114","309","Gestante","1","5","7.5","5.8","816000","6.03","1","","","",""
"953-1","953","1","33","174","Inseminada","3","1","12","6.6","800000","6","1","","","",""
"1600-1","1600","1","86","168","Inseminada","3","5","16.6","7.7","798000","6","1","","","",""
"1913-4","1913","4","90","320","Gestante","1","4","5.2","6.9","836000","6.06","1","","","",""
"690-5","690","5","94","247","Gestante","1","5","14.1","6.5","835000","6.06","1","","","",""
"1495-11","1495","11","45","133","Abierta","2","2","13.8","6.7","836000","6.06","1","","","",""
"953-5","953","5","34","202","Gestante","1","1","11.5","4.5","200000","4","1","","","",""
"902-3","902","3","43","71","Inseminada","3","2","15","7.5","69000","2.46","0","","","",""
"923-1","923","1","37","311","Gestante","1","1","12.4","5.5","69000","2.46","0","","","",""
"24-5","24","5","18","47","Abierta","2","1","11.4","5.8","68000","2.44","0","","","",""
"903-8","903","8","44","56","Abierta","2","2","22.2","5.9","70000","2.49","0","","","",""
"839-4","839","4","59","48","Abierta","2","3","11.7","6.4","69000","2.46","0","","","",""
"1107-8","1107","8","101","24","Abierta","2","7","14.8","6","69000","2.46","0","","","",""
"925-5","925","5","38","332","Gestante","1","1","10.6","6.2","65000","2.38","0","","","",""
"884-2","884","2","46","227","Gestante","1","2","13.9","6.3","65000","2.38","0","","","",""
"951-3","951","3","34","193","Inseminada","3","1","4.3","6.4","64000","2.36","0","","","",""
"961-6","961","6","33","221","Gestante","1","1","12.3","6","68000","2.44","0","","","",""
"910-1","910","1","41","100","Abierta","2","2","15.5","9.9","68000","2.44","0","","","",""
"1579-2","1579","2","87","260","Gestante","1","4","14.3","6.4","65000","2.38","0","","","",""
"686-4","686","4","107","210","Inseminada","3","6","13.9","7.1","70000","2.49","0","","","",""
"1107-9","1107","9","101","31","Abierta","2","7","16.4","6.6","73000","2.55","0","","","",""
"967-4","967","4","30","166","Gestante","1","1","12.3","5.9","73000","2.55","0","","","",""
"1603-3","1603","3","86","369","No gestante","#N/A","4","10.7","5.4","73000","2.55","0","","","",""
"2150-4","2150","4","45","8","Abierta","2","2","16.3","5.8","76000","2.6","0","","","",""
"967-8","967","8","31","194","Gestante","1","1","13.3","5.4","74000","2.57","0","","","",""
"961-10","961","10","34","250","Gestante","1","1","12.8","6.1","74000","2.57","0","","","",""
"902-5","902","5","43","85","Inseminada","3","2","16.5","7.2","72000","2.53","0","","","",""
"877-4","877","4","48","130","Inseminada","3","2","17.3","6.2","72000","2.53","0","","","",""
"877-5","877","5","49","137","Inseminada","3","2","17.3","6.5","72000","2.53","0","","","",""
"749-11","749","11","85","106","Abierta","2","4","10.2","6.9","72000","2.53","0","","","",""
"219-11","219","11","93","167","Inseminada","3","4","18.5","7.4","72000","2.53","0","","","",""
"796-4","796","4","66","43","Abierta","2","4","16.3","6.3","72000","2.53","0","","","",""
"916-9","916","9","41","348","No gestante","#N/A","1","11.1","6.7","55000","2.14","0","","","",""
"930-11","930","11","38","161","Inseminada","3","1","9.8","6.6","55000","2.14","0","","","",""
"938-5","938","5","36","54","Abierta","2","1","19.7","6.2","55000","2.14","0","","","",""
"935-8","935","8","37","53","Abierta","2","2","19.7","6.9","59000","2.24","0","","","",""
"686-5","686","5","108","217","Inseminada","3","6","11.5","7.3","58000","2.21","0","","","",""
"938-4","938","4","36","47","Abierta","2","1","19.8","4.6","57000","2.19","0","","","",""
"926-8","926","8","38","36","Abierta","2","2","16.3","6","53000","2.08","0","","","",""
"835-8","835","8","60","56","Abierta","2","3","21.7","7.5","53000","2.08","0","","","",""
"2150-9","2150","9","46","43","Abierta","2","2","19.1","6.1","53000","2.08","0","","","",""
"902-7","902","7","44","100","Inseminada","3","2","15.3","7.7","55000","2.14","0","","","",""
"926-7","926","7","38","30","Abierta","2","2","16.5","5.9","54000","2.11","0","","","",""
"1953-5","1953","5","86","85","Inseminada","3","5","19.2","4.9","53000","2.08","0","","","",""
"957-5","957","5","34","228","Inseminada","3","1","14.5","6","59000","2.24","0","","","",""
"24-7","24","7","18","62","Abierta","2","1","12.8","6.1","62000","2.31","0","","","",""
"749-8","749","8","84","85","Abierta","2","4","21.6","7","61000","2.29","0","","","",""
"1579-1","1579","1","86","253","Gestante","1","4","16.5","6.6","61000","2.29","0","","","",""
"882-6","882","6","48","167","Inseminada","3","2","6.7","6.4","63000","2.33","0","","","",""
"902-6","902","6","44","92","Inseminada","3","2","14.4","4.1","62000","2.31","0","","","",""
"961-8","961","8","34","235","Gestante","1","1","11.7","9.9","62000","2.31","0","","","",""
"1652-7","1652","7","45","277","Gestante","1","1","10.8","5.6","60000","2.26","0","","","",""
"957-6","957","6","34","235","Inseminada","3","1","14","6.5","60000","2.26","0","","","",""
"835-5","835","5","59","35","Abierta","2","3","20.4","7.1","59000","2.24","0","","","",""
"2150-5","2150","5","45","15","Abierta","2","2","19.3","6.3","60000","2.26","0","","","",""
"920-7","920","7","39","32","Abierta","2","2","14.8","6.1","60000","2.26","0","","","",""
"903-3","903","3","43","21","Abierta","2","2","21.6","7","60000","2.26","0","","","",""
"2230-6","2230","6","44","280","Gestante","1","2","15.8","6.6","88000","2.82","0","","","",""
"686-3","686","3","107","203","Inseminada","3","6","12.1","6.2","88000","2.82","0","","","",""
"900-9","900","9","46","43","Abierta","2","2","20.2","7.3","87000","2.8","0","","","",""
"951-7","951","7","35","222","Inseminada","3","1","11.3","6.2","89000","2.83","0","","","",""
"926-10","926","10","39","51","Abierta","2","2","12.1","6.4","89000","2.83","0","","","",""
"241-2","241","2","79","295","Abierta","2","3","11.5","6.1","88000","2.82","0","","","",""
"241-1","241","1","79","288","Abierta","2","3","11.5","6.4","86000","2.78","0","","","",""
"50-1","50","1","113","200","Inseminada","3","5","15.5","6.9","86000","2.78","0","","","",""
"50-2","50","2","113","207","Inseminada","3","5","14.3","6.9","85000","2.77","0","","","",""
"24-3","24","3","17","33","Abierta","2","1","11.5","5.9","87000","2.8","0","","","",""
"882-1","882","1","46","132","Inseminada","3","2","13","5.2","87000","2.8","0","","","",""
"952-3","952","3","34","229","Gestante","1","1","11.5","5.5","86000","2.78","0","","","",""
"1953-10","1953","10","87","121","No gestante","#N/A","5","18","5.5","89000","2.83","0","","","",""
"926-11","926","11","39","58","Abierta","2","2","15.9","6.1","94000","2.91","0","","","",""
"972-10","972","10","31","188","Inseminada","3","1","12.8","5.9","94000","2.91","0","","","",""
"1603-4","1603","4","86","376","No gestante","#N/A","4","10.8","6","94000","2.91","0","","","",""
"903-2","903","2","42","14","Abierta","2","2","20.4","6.5","96000","2.94","0","","","",""
"872-1","872","1","49","149","Inseminada","3","2","16.6","6.8","95000","2.93","0","","","",""
"1603-7","1603","7","87","398","No gestante","#N/A","4","6.5","8.4","95000","2.93","0","","","",""
"839-3","839","3","58","41","Abierta","2","3","13.2","6.5","90000","2.85","0","","","",""
"749-4","749","4","83","57","Abierta","2","4","20.9","6.2","90000","2.85","0","","","",""
"7741-6","7741","6","67","204","Gestante","1","4","15.7","6.1","89000","2.83","0","","","",""
"903-5","903","5","43","35","Abierta","2","2","22.8","7.2","92000","2.88","0","","","",""
"925-8","925","8","38","353","Gestante","1","1","11.3","5.7","91000","2.86","0","","","",""
"926-4","926","4","37","8","Abierta","2","2","13.1","6.1","90000","2.85","0","","","",""
"2150-8","2150","8","46","36","Abierta","2","2","16.4","5.9","79000","2.66","0","","","",""
"972-5","972","5","29","152","Inseminada","3","1","12","5.7","79000","2.66","0","","","",""
